dataset,round_digits,depth,n_train,n_test,n_features,n_equalities,config,time_sec,gap_pct,objective,lp_value,nodes_bb,err_train,err_test
iris,none,2,120,30,4,0,sans_egalites,2.613,0.0,115.0,120.0,1389,5,1
iris,none,2,120,30,4,285,avec_egalites,2.422,0.0,115.0,120.0,1187,5,1
iris,none,3,120,30,4,0,sans_egalites,24.192,0.0,120.0,120.0,5282,0,1
iris,none,3,120,30,4,285,avec_egalites,12.186,0.0,120.0,120.0,3254,0,4
iris,1,2,120,30,4,0,sans_egalites,1.973,0.0,115.0,120.0,491,5,1
iris,1,2,120,30,4,2952,avec_egalites,4.151,0.0,115.0,120.0,365,5,2
iris,1,3,120,30,4,0,sans_egalites,60.059,2.5641,117.0,120.0,9856,3,1
iris,1,3,120,30,4,2952,avec_egalites,60.07,2.1368,117.0,120.0,6123,3,2
iris,2,2,120,30,4,0,sans_egalites,3.274,0.0,115.0,120.0,1071,5,1
iris,2,2,120,30,4,285,avec_egalites,3.7,0.0,115.0,120.0,1625,5,1
iris,2,3,120,30,4,0,sans_egalites,9.588,0.0,120.0,120.0,1783,0,4
iris,2,3,120,30,4,285,avec_egalites,46.861,0.0,120.0,120.0,8936,0,1
seeds,none,2,168,42,6,0,sans_egalites,30.699,0.0,158.0,168.0,14462,10,3
seeds,none,2,168,42,6,0,avec_egalites,30.446,0.0,158.0,168.0,14462,10,3
seeds,none,3,168,42,6,0,sans_egalites,60.138,4.3478,161.0,168.0,8066,7,3
seeds,none,3,168,42,6,0,avec_egalites,60.107,4.3478,161.0,168.0,8092,7,3
seeds,1,2,168,42,6,0,sans_egalites,12.736,0.0,152.0,168.0,5894,16,4
seeds,1,2,168,42,6,1047,avec_egalites,16.38,0.0,152.0,168.0,6614,16,4
seeds,1,3,168,42,6,0,sans_egalites,60.092,7.0064,157.0,168.0,9646,11,2
seeds,1,3,168,42,6,1047,avec_egalites,60.078,7.0064,157.0,168.0,8612,11,2
seeds,2,2,168,42,6,0,sans_egalites,30.052,0.0,158.0,168.0,10966,10,2
seeds,2,2,168,42,6,0,avec_egalites,30.375,0.0,158.0,168.0,10966,10,2
seeds,2,3,168,42,6,0,sans_egalites,60.082,8.3871,155.0,168.0,9918,13,4
seeds,2,3,168,42,6,0,avec_egalites,60.08,7.6923,156.0,168.0,10686,12,3
wine,none,2,142,36,13,0,sans_egalites,50.257,0.0,137.0,142.0,17752,5,2
wine,none,2,142,36,13,0,avec_egalites,49.375,0.0,137.0,142.0,17752,5,2
wine,none,3,142,36,13,0,sans_egalites,60.136,11.811,127.00000000000188,142.0,4145,15,5
wine,none,3,142,36,13,0,avec_egalites,60.114,12.6984,126.0,142.0,4476,16,5
wine,1,2,142,36,13,0,sans_egalites,24.228,0.0,135.0,142.0,6087,7,3
wine,1,2,142,36,13,0,avec_egalites,22.74,0.0,135.0,142.0,6087,7,3
wine,1,3,142,36,13,0,sans_egalites,60.094,8.3969,131.0,142.0,6257,11,5
wine,1,3,142,36,13,0,avec_egalites,60.082,10.9375,128.0,142.0,5226,14,4
wine,2,2,142,36,13,0,sans_egalites,60.06,2.3972,136.0,142.0,22074,6,1
wine,2,2,142,36,13,0,avec_egalites,60.045,2.7241,136.0,142.0,17615,6,2
wine,2,3,142,36,13,0,sans_egalites,60.067,1.4286,140.0,142.0,6354,2,2
wine,2,3,142,36,13,0,avec_egalites,60.07,1.4286,140.0,142.0,7048,2,2
